Species,Increasing.Rank.Min,Decreasing.Rank.Min,Increasing.Rank.Max,Decreasing.Rank.Max,Increasing.Rank.Average,Decreasing.Rank.Average,Decre.maxRank.P,Decre.aveRank.P,Incre.aveRank.P,Decre.minRank.P,Decre.minRank.P.FDR,Decre.maxRank.P.FDR,Decre.aveRank.P.FDR,Ctlmean,Dismean,Shape,Label,Label2,Origin
Pathway190,7621,2340,7662,2381,7641.5,2360.5,0.238076192,0.236026397,0.76407 ,0.233976602,0.48798233,0.548489832,0.528946289,1.33E-06,2.92E-06,B,,,PWY.5180..toluene.degradation.I..aerobic...via.o.cresol.
Pathway192,7621,2340,7662,2381,7641.5,2360.5,0.238076192,0.236026397,0.76407 ,0.233976602,0.48798233,0.548489832,0.528946289,1.33E-06,2.92E-06,B,,,PWY.5182..toluene.degradation.II..aerobic...via.4.methylcatechol.
Pathway181,7619,2377,7625,2383,7622,2380,0.238276172,0.237976202,0.76212 ,0.237676232,0.491761511,0.548489832,0.528946289,4.96E-05,5.13E-05,B,,,PWY.5121..superpathway.of.geranylgeranyl.diphosphate.biosynthesis.II..via.MEP.
Pathway423,7610,2390,7612,2392,7611,2391,0.239176082,0.239076092,0.76102 ,0.238976102,0.491761511,0.548489832,0.528946289,2.91E-05,3.24E-05,B,,,PWY.7323..superpathway.of.GDP.mannose.derived.O.antigen.building.blocks.biosynthesis
Pathway66,7602,2399,7603,2400,7602.5,2399.5,0.239976002,0.239926007,0.76017 ,0.239876012,0.491761511,0.548489832,0.528946289,1.46E-05,1.59E-05,B,,,GLYOXYLATE.BYPASS..glyoxylate.cycle
Pathway489,7597,2404,7598,2405,7597.5,2404.5,0.240475952,0.240425957,0.75967 ,0.240375962,0.491761511,0.548489832,0.528946289,8.84E-05,9.42E-05,B,,,PWY4FS.7..phosphatidylglycerol.biosynthesis.I..plastidic.
Pathway490,7597,2404,7598,2405,7597.5,2404.5,0.240475952,0.240425957,0.75967 ,0.240375962,0.491761511,0.548489832,0.528946289,8.84E-05,9.42E-05,B,,,PWY4FS.8..phosphatidylglycerol.biosynthesis.II..non.plastidic.
Pathway281,5167,1,10001,4835,7584,2418,0.483451655,0.241775822,0.75832 ,1.00E-04,0.00243612,0.811529723,0.528946289,0,3.35E-08,B,,,PWY.6143..CMP.pseudaminate.biosynthesis
Pathway351,5167,1,10001,4835,7584,2418,0.483451655,0.241775822,0.75832 ,1.00E-04,0.00243612,0.811529723,0.528946289,0,7.10E-08,B,,,PWY.6749..CMP.legionaminate.biosynthesis.I
Pathway371,5167,1,10001,4835,7584,2418,0.483451655,0.241775822,0.75832 ,1.00E-04,0.00243612,0.811529723,0.528946289,0,2.15E-08,B,,,PWY.7031..protein.N.glycosylation..bacterial.
Pathway457,7573,2428,7574,2429,7573.5,2428.5,0.242875712,0.242825717,0.75727 ,0.242775722,0.494782461,0.551616025,0.529083677,1.13E-05,1.41E-05,B,,,PWY.821..superpathway.of.sulfur.amino.acid.biosynthesis..Saccharomyces.cerevisiae.
Pathway534,7524,2463,7539,2478,7531.5,2470.5,0.247775222,0.247025297,0.75307 ,0.246275372,0.500013635,0.558014787,0.530862329,1.21E-06,1.45E-06,B,,,URSIN.PWY..ureide.biosynthesis
Pathway216,5035,1,10001,4967,7518,2484,0.496650335,0.248375162,0.75172 ,1.00E-04,0.00243612,0.811529723,0.530862329,0,3.55E-10,B,,,PWY.5534..propylene.degradation
Pathway308,5020,1,10001,4982,7510.5,2491.5,0.498150185,0.249125087,0.75097 ,1.00E-04,0.00243612,0.811529723,0.530862329,0,4.18E-08,B,,,PWY.6344..L.ornithine.degradation.II..Stickland.reaction.
Pathway374,5002,1,10001,5000,7501.5,2500.5,0.499950005,0.250024998,0.75007 ,1.00E-04,0.00243612,0.811529723,0.530862329,0,7.25E-10,B,,,PWY.7049..icosapentaenoate.biosynthesis.II..metazoa.
Pathway493,4994,1,10001,5008,7497.5,2504.5,0.500749925,0.250424958,0.74968 ,1.00E-04,0.00243612,0.811529723,0.530862329,0,9.93E-10,B,,,PWY66.373..sucrose.degradation.V..sucrose..alpha..glucosidase.
Pathway33,4993,1,10001,5009,7497,2505,0.500849915,0.250474953,0.74963 ,1.00E-04,0.00243612,0.811529723,0.530862329,0,3.86E-08,B,,,DENITRIFICATION.PWY..nitrate.reduction.I..denitrification.
Pathway84,4991,1,10001,5011,7496,2506,0.501049895,0.250574943,0.74953 ,1.00E-04,0.00243612,0.811529723,0.530862329,0,3.43E-09,B,,,LYSINE.AMINOAD.PWY..L.lysine.biosynthesis.IV
Pathway504,7479,2521,7481,2523,7480,2522,0.252274773,0.252174783,0.74793 ,0.252074793,0.509349065,0.563413659,0.53214836,3.63E-05,3.49E-05,B,,,PYRIDNUCSAL.PWY..NAD.salvage.pathway.I
Pathway201,7454,2547,7455,2548,7454.5,2547.5,0.254774523,0.254724528,0.74538 ,0.254674533,0.509349065,0.566635453,0.534271573,4.00E-05,4.68E-05,B,,,PWY.5345..superpathway.of.L.methionine.biosynthesis..by.sulfhydrylation.
Pathway110,7439,2541,7461,2563,7450,2552,0.256274373,0.255174483,0.74493 ,0.254074593,0.509349065,0.567615966,0.534271573,3.32E-07,5.73E-07,B,,,P165.PWY..superpathway.of.purines.degradation.in.plants
Pathway483,7391,2531,7471,2611,7431,2571,0.261073893,0.257074293,0.74303 ,0.253074693,0.509349065,0.573506584,0.536154945,1.20E-08,1.43E-08,B,,,PWY1G.0..mycothiol.biosynthesis
Pathway151,7411,2582,7420,2591,7415.5,2586.5,0.259074093,0.258624138,0.74148 ,0.258174183,0.512523562,0.571455612,0.537296658,4.50E-06,6.48E-06,B,,,PWY.3801..sucrose.degradation.II..sucrose.synthase.
Pathway297,7373,2626,7376,2629,7374.5,2627.5,0.262873713,0.262723728,0.73738 ,0.262573743,0.51912473,0.575103306,0.543208275,8.26E-05,8.73E-05,B,,,PWY.6270..isoprene.biosynthesis.I
Pathway382,7340,2639,7363,2662,7351.5,2650.5,0.266173383,0.265023498,0.73508 ,0.263873613,0.51912473,0.575277956,0.543208275,4.42E-07,8.42E-07,B,,,PWY.7165..L.ascorbate.biosynthesis.VI..engineered.pathway.
Pathway330,7348,2648,7354,2654,7351,2651,0.265373463,0.265073493,0.73503 ,0.264773523,0.51912473,0.575277956,0.543208275,1.78E-05,1.86E-05,B,,,PWY.6590..superpathway.of.Clostridium.acetobutylicum.acidogenic.fermentation
Pathway501,7345,2654,7348,2657,7346.5,2655.5,0.265673433,0.265523448,0.73458 ,0.265373463,0.51912473,0.575277956,0.543208275,8.62E-05,8.98E-05,B,,,PWY66.409..superpathway.of.purine.nucleotide.salvage
Pathway383,7276,2719,7283,2726,7279.5,2722.5,0.272572743,0.272222778,0.72788 ,0.271872813,0.529344167,0.582577963,0.554796231,8.17E-05,8.41E-05,B,,,PWY.7184..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.I
Pathway401,7251,2749,7253,2751,7252,2750,0.275072493,0.274972503,0.72513 ,0.274872513,0.53074117,0.582577963,0.556979774,0.00011006,0.000114951,B,,,PWY.7228..superpathway.of.guanosine.nucleotides.de.novo.biosynthesis.I
Pathway466,7247,2753,7249,2755,7248,2754,0.275472453,0.275372463,0.72473 ,0.275272473,0.53074117,0.582577963,0.556979774,5.78E-05,6.10E-05,B,,,PWY0.1298..superpathway.of.pyrimidine.deoxyribonucleosides.degradation
Pathway498,7229,2773,7229,2773,7229,2773,0.277272273,0.277272273,0.72283 ,0.277272273,0.530778351,0.582815444,0.558714053,3.39E-06,4.21E-06,B,,,PWY66.398..TCA.cycle.III..animals.
Pathway85,7161,2726,7276,2841,7218.5,2783.5,0.284071593,0.278322168,0.72178 ,0.272572743,0.529344167,0.584446498,0.558729146,1.55E-08,1.76E-08,B,,,LYSINE.DEG1.PWY..L.lysine.degradation.XI..mammalian.
Pathway323,7172,2769,7233,2830,7202.5,2799.5,0.282971703,0.279922008,0.72018 ,0.276872313,0.530778351,0.584446498,0.559844016,2.18E-08,1.96E-08,B,,,PWY.6524..lychnose.and.isolychnose.biosynthesis
Pathway127,7162,2840,7162,2840,7162,2840,0.283971603,0.283971603,0.71613 ,0.283971603,0.538965822,0.584446498,0.565108195,1.23E-05,1.28E-05,B,,,POLYAMINSYN3.PWY..superpathway.of.polyamine.biosynthesis.II
Pathway397,7141,2856,7146,2861,7143.5,2858.5,0.286071393,0.285821418,0.71428 ,0.285571443,0.538965822,0.584446498,0.565108195,0.000101055,0.000102252,B,,,PWY.7220..adenosine.deoxyribonucleotides.de.novo.biosynthesis.II
Pathway399,7141,2856,7146,2861,7143.5,2858.5,0.286071393,0.285821418,0.71428 ,0.285571443,0.538965822,0.584446498,0.565108195,0.000101055,0.000102252,B,,,PWY.7222..guanosine.deoxyribonucleotides.de.novo.biosynthesis.II
Pathway9,7134,2868,7134,2868,7134,2868,0.286771323,0.286771323,0.71333 ,0.286771323,0.53933133,0.584446498,0.565108195,6.74E-05,6.81E-05,B,,,ARG.POLYAMINE.SYN..superpathway.of.arginine.and.polyamine.biosynthesis
Pathway251,6763,2580,7422,3239,7092.5,2909.5,0.323867613,0.290920908,0.70918 ,0.257974203,0.512523562,0.640960258,0.571185372,2.65E-08,2.36E-07,B,,,PWY.5870..ubiquinol.8.biosynthesis..eukaryotic.
Pathway303,6864,2784,7218,3138,7041,2961,0.313768623,0.296070393,0.70403 ,0.278372163,0.530987471,0.628137186,0.579174199,4.73E-08,1.98E-08,B,,,PWY.6307..L.tryptophan.degradation.X..mammalian..via.tryptamine.
Pathway420,6926,3017,6985,3076,6955.5,3046.5,0.307569243,0.304619538,0.69548 ,0.301669833,0.565367239,0.622102318,0.592647982,3.44E-08,4.82E-08,B,,,PWY.7294..xylose.degradation.IV
Pathway505,6948,3050,6952,3054,6950,3052,0.305369463,0.305169483,0.69493 ,0.304969503,0.569559769,0.619992546,0.592647982,0.000149378,0.00014947,B,,,PYRIDNUCSYN.PWY..NAD.biosynthesis.I..from.aspartate.
Pathway22,6890,3096,6906,3112,6898,3104,0.311168883,0.310368963,0.68973 ,0.309569043,0.576142386,0.627016998,0.600569546,3.08E-07,6.22E-07,B,,,CATECHOL.ORTHO.CLEAVAGE.PWY..catechol.degradation.to..beta..ketoadipate
Pathway133,6861,3137,6865,3141,6863,3139,0.314068593,0.313868613,0.68623 ,0.313668633,0.581752205,0.628137186,0.605156751,8.03E-05,8.17E-05,B,,,PRPP.PWY..superpathway.of.histidine..purine..and.pyrimidine.biosynthesis
Pathway532,6787,3214,6788,3215,6787.5,3214.5,0.321467853,0.321417858,0.67868 ,0.321367863,0.593976464,0.640545611,0.617490939,0.301463163,0.30178429,B,,,UNMAPPED
Pathway129,6761,3240,6762,3241,6761.5,3240.5,0.324067593,0.324017598,0.67608 ,0.323967603,0.596723833,0.640960258,0.620262259,2.47E-05,2.48E-05,B,,,POLYISOPRENSYN.PWY..polyisoprenoid.biosynthesis..E..coli.
Pathway64,6746,3252,6750,3256,6748,3254,0.325567443,0.325367463,0.67473 ,0.325167483,0.596882777,0.641559373,0.620629752,1.35E-05,1.60E-05,B,,,GLYCOLYSIS.TCA.GLYOX.BYPASS..superpathway.of.glycolysis..pyruvate.dehydrogenase..TCA..and.glyoxylate.bypass
Pathway29,6661,3339,6663,3341,6662,3340,0.334066593,0.333966603,0.66613 ,0.333866613,0.610759402,0.655896315,0.634773402,4.39E-05,4.55E-05,B,,,COLANSYN.PWY..colanic.acid.building.blocks.biosynthesis
Pathway514,6613,3387,6615,3389,6614,3388,0.338866113,0.338766123,0.66133 ,0.338666133,0.617432134,0.662891375,0.641620644,3.07E-05,3.77E-05,B,,,SO4ASSIM.PWY..sulfate.reduction.I..assimilatory.
Pathway75,6544,3457,6545,3458,6544.5,3457.5,0.345765423,0.345715428,0.65438 ,0.345665433,0.626714433,0.673125467,0.650818834,0.00010462,0.000106377,B,,,HSERMETANA.PWY..L.methionine.biosynthesis.III
Pathway318,6523,3466,6536,3479,6529.5,3472.5,0.347865213,0.347215278,0.65288 ,0.346565343,0.626714433,0.673125467,0.650818834,4.72E-06,6.48E-06,B,,,PWY.6470..peptidoglycan.biosynthesis.V...beta..lactam.resistance.
Pathway130,6529,3473,6529,3473,6529,3473,0.347265273,0.347265273,0.65283 ,0.347265273,0.626714433,0.673125467,0.650818834,2.98E-05,3.36E-05,B,,,PPGPPMET.PWY..ppGpp.biosynthesis
Pathway58,6479,3521,6481,3523,6480,3522,0.352264774,0.352164784,0.64794 ,0.352064794,0.629825759,0.677085316,0.654293615,1.59E-05,1.70E-05,B,,,GLUDEG.I.PWY..GABA.shunt
Pathway34,6466,3529,6473,3536,6469.5,3532.5,0.353564644,0.353214679,0.64689 ,0.352864714,0.629825759,0.677085316,0.654293615,0.000113477,0.000112744,B,,,DENOVOPURINE2.PWY..superpathway.of.purine.nucleotides.de.novo.biosynthesis.II
Pathway263,6457,3543,6459,3545,6458,3544,0.354464554,0.354364564,0.64574 ,0.354264574,0.629825759,0.677085316,0.654293615,1.94E-05,2.08E-05,B,,,PWY.5941..glycogen.degradation.II..eukaryotic.
Pathway69,6452,3549,6453,3550,6452.5,3549.5,0.354964504,0.354914509,0.64519 ,0.354864514,0.629825759,0.677085316,0.654293615,1.28E-05,1.38E-05,B,,,HEME.BIOSYNTHESIS.II..heme.biosynthesis.I..aerobic.
Pathway138,5055,2194,7808,4947,6431.5,3570.5,0.494650535,0.357014299,0.64309 ,0.219378062,0.47270473,0.811529723,0.654293615,2.07E-09,3.35E-09,B,,,PWY.1622..formaldehyde.assimilation.I..serine.pathway.
Pathway400,5033,2173,7829,4969,6431,3571,0.496850315,0.357064294,0.64304 ,0.217278272,0.47270473,0.811529723,0.654293615,1.25E-09,7.27E-09,B,,,PWY.7224..purine.deoxyribonucleosides.salvage
Pathway7,6423,3575,6427,3579,6425,3577,0.357864214,0.357664234,0.64244 ,0.357464254,0.632346006,0.68019581,0.654293615,0.000118946,0.000119482,B,,,ANAEROFRUCAT.PWY..homolactic.fermentation
Pathway206,4990,2169,7833,5012,6411.5,3590.5,0.501149885,0.359014099,0.64109 ,0.216878312,0.47270473,0.811529723,0.654529105,9.05E-10,1.39E-09,B,,,PWY.5392..reductive.TCA.cycle.II
Pathway460,6391,3601,6401,3611,6396,3606,0.361063894,0.360563944,0.63954 ,0.360063994,0.634849673,0.683142953,0.655085843,1.90E-05,1.58E-05,B,,,PWY0.1061..superpathway.of.L.alanine.biosynthesis
Pathway46,6382,3616,6386,3620,6384,3618,0.361963804,0.361763824,0.63834 ,0.361563844,0.635404001,0.683142953,0.655085843,3.10E-05,3.29E-05,B,,,FUCCAT.PWY..fucose.degradation
Pathway474,6365,3637,6365,3637,6365,3637,0.363663634,0.363663634,0.63644 ,0.363663634,0.636501822,0.683612758,0.655904879,0.000100555,0.000101175,B,,,PWY0.166..superpathway.of.pyrimidine.deoxyribonucleotides.de.novo.biosynthesis..E..coli.
Pathway165,6354,3646,6356,3648,6355,3647,0.364763524,0.364663534,0.63544 ,0.364563544,0.636501822,0.683612758,0.655904879,1.60E-05,1.65E-05,B,,,PWY.5022..4.aminobutanoate.degradation.V
Pathway481,6153,3520,6482,3849,6317.5,3684.5,0.384861514,0.368413159,0.63169 ,0.351964804,0.629825759,0.708885812,0.660432953,7.35E-08,2.01E-07,B,,,PWY0.881..superpathway.of.fatty.acid.biosynthesis.I..E..coli.
Pathway99,6291,3706,6296,3711,6293.5,3708.5,0.371062894,0.370812919,0.62929 ,0.370562944,0.644345888,0.692995509,0.662519081,7.45E-06,6.87E-06,B,,,ORNDEG.PWY..superpathway.of.ornithine.degradation
Pathway179,6274,3727,6275,3728,6274.5,3727.5,0.372762724,0.372712729,0.62739 ,0.372662734,0.644345888,0.693752847,0.663701072,9.09E-05,9.69E-05,B,,,PWY.5104..L.isoleucine.biosynthesis.IV
Pathway302,6188,3813,6189,3814,6188.5,3813.5,0.381361864,0.381311869,0.61879 ,0.381261874,0.654988347,0.707300896,0.676765436,6.26E-05,6.25E-05,B,,,PWY.6305..putrescine.biosynthesis.IV
Pathway429,6154,3805,6197,3848,6175.5,3826.5,0.384761524,0.382611739,0.61749 ,0.380461954,0.654988347,0.708885812,0.676831327,2.35E-07,2.62E-07,B,,,PWY.7374..1.4.dihydroxy.6.naphthoate.biosynthesis.I
Pathway269,5861,3715,6287,4141,6074,3928,0.414058594,0.392760724,0.60734 ,0.371462854,0.644345888,0.739784688,0.692499171,2.59E-09,6.39E-09,B,,,PWY.6074..zymosterol.biosynthesis
Pathway154,6055,3944,6058,3947,6056.5,3945.5,0.394660534,0.394510549,0.60559 ,0.394360564,0.671038928,0.724445364,0.693303784,1.91E-05,2.06E-05,B,,,PWY.4041...gamma..glutamyl.cycle
Pathway186,5989,4010,5992,4013,5990.5,4011.5,0.401259874,0.401109889,0.59899 ,0.400959904,0.675124988,0.731132292,0.699592177,1.45E-05,1.57E-05,B,,,PWY.5173..superpathway.of.acetyl.CoA.biosynthesis
Pathway384,5981,4017,5985,4021,5983,4019,0.402059794,0.401859814,0.59824 ,0.401659834,0.675124988,0.731132292,0.699592177,8.54E-05,8.41E-05,B,,,PWY.7187..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.II
Pathway132,5964,4025,5977,4038,5970.5,4031.5,0.403759624,0.403109689,0.59699 ,0.402459754,0.675124988,0.731132292,0.699592177,4.61E-07,1.21E-06,B,,,PROTOCATECHUATE.ORTHO.CLEAVAGE.PWY..protocatechuate.degradation.II..ortho.cleavage.pathway.
Pathway111,5966,4031,5971,4036,5968.5,4033.5,0.403559644,0.403309669,0.59679 ,0.403059694,0.675124988,0.731132292,0.699592177,1.73E-05,1.77E-05,B,,,P185.PWY..formaldehyde.assimilation.III..dihydroxyacetone.cycle.
Pathway149,5813,3961,6041,4189,5927,4075,0.418858114,0.407459254,0.59264 ,0.396060394,0.671798643,0.745873585,0.703429657,1.12E-08,2.78E-08,B,,,PWY.3661..glycine.betaine.degradation.I
Pathway300,5915,4086,5916,4087,5915.5,4086.5,0.408659134,0.408609139,0.59149 ,0.408559144,0.680086029,0.737512781,0.703429657,4.84E-05,4.81E-05,B,,,PWY.6284..superpathway.of.unsaturated.fatty.acids.biosynthesis..E..coli.
Pathway487,5871,4059,5943,4131,5907,4095,0.413058694,0.409459054,0.59064 ,0.405859414,0.677696716,0.739784688,0.703429657,1.15E-07,1.30E-07,B,,,PWY3O.355..stearate.biosynthesis.III..fungi.
Pathway511,5868,4125,5877,4134,5872.5,4129.5,0.413358664,0.412908709,0.58719 ,0.412458754,0.684451679,0.739784688,0.707089674,1.94E-06,1.67E-06,B,,,RUMP.PWY..formaldehyde.oxidation.I
Pathway38,5709,4286,5716,4293,5712.5,4289.5,0.429257074,0.428907109,0.57119 ,0.428557144,0.706789629,0.761860238,0.732147167,7.35E-06,9.06E-06,B,,,ENTBACSYN.PWY..enterobactin.biosynthesis
Pathway346,5681,4315,5687,4321,5684,4318,0.432056794,0.431756824,0.56834 ,0.431456854,0.709389184,0.764298488,0.73467193,0.000221637,0.000220674,B,,,PWY.6700..queuosine.biosynthesis
Pathway386,5654,4343,5659,4348,5656.5,4345.5,0.434756524,0.434506549,0.56559 ,0.434256574,0.710455784,0.766544398,0.737011109,8.05E-05,8.38E-05,B,,,PWY.7197..pyrimidine.deoxyribonucleotide.phosphorylation
Pathway416,5049,3889,6113,4953,5581,4421,0.495250475,0.442055794,0.55804 ,0.388861114,0.665909128,0.811529723,0.747450807,2.62E-09,7.54E-09,B,,,PWY.7283..wybutosine.biosynthesis
Pathway305,5341,4230,5772,4661,5556.5,4445.5,0.466053395,0.444505549,0.55559 ,0.422957704,0.699707807,0.808429189,0.747972852,3.69E-08,1.32E-08,B,,,PWY.6313..serotonin.degradation
Pathway355,5018,3920,6082,4984,5550,4452,0.498350165,0.445155484,0.55494 ,0.391960804,0.669079589,0.811529723,0.747972852,1.91E-09,1.07E-09,B,,,PWY.6829..tRNA.methylation..yeast.
Pathway531,5516,4486,5516,4486,5516,4486,0.448555144,0.448555144,0.55154 ,0.448555144,0.73077677,0.788280516,0.750074525,0.64973694,0.649872647,B,,,UNINTEGRATED
Pathway495,5365,4348,5654,4637,5509.5,4492.5,0.463653635,0.449205079,0.55089 ,0.434756524,0.710455784,0.808429189,0.750074525,8.35E-09,3.29E-08,B,,,PWY66.388..fatty.acid..alpha..oxidation.III
Pathway80,5433,4566,5436,4569,5434.5,4567.5,0.456854315,0.45670433,0.54340 ,0.456554345,0.741554935,0.800241544,0.760228325,1.82E-05,1.80E-05,B,,,LACTOSECAT.PWY..lactose.and.galactose.degradation.I
Pathway159,5343,4656,5346,4659,5344.5,4657.5,0.465853415,0.46570343,0.53440 ,0.465553445,0.753887149,0.808429189,0.772808168,8.21E-06,1.26E-05,B,,,PWY.4702..phytate.degradation.I
Pathway145,5162,4835,5167,4840,5164.5,4837.5,0.483951605,0.48370163,0.51640 ,0.483451655,0.776578574,0.811529723,0.79063952,5.22E-05,5.21E-05,B,,,PWY.2941..L.lysine.biosynthesis.II
Pathway280,5108,4784,5218,4894,5163,4839,0.489351065,0.483851615,0.51625 ,0.478352165,0.772279399,0.811529723,0.79063952,9.64E-08,6.15E-08,B,,,PWY.6138..CMP.N.acetylneuraminate.biosynthesis.I..eukaryotes.
Pathway60,5147,4854,5148,4855,5147.5,4854.5,0.485451455,0.48540146,0.51470 ,0.485351465,0.776578574,0.811529723,0.79063952,1.25E-05,1.25E-05,B,,,GLYCOCAT.PWY..glycogen.degradation.I..bacterial.
Pathway331,5143,4857,5145,4859,5144,4858,0.485851415,0.485751425,0.51435 ,0.485651435,0.776578574,0.811529723,0.79063952,2.90E-05,2.80E-05,B,,,PWY.6595..superpathway.of.guanosine.nucleotides.degradation..plants.
Pathway92,5109,4891,5111,4893,5110,4892,0.489251075,0.489151085,0.51095 ,0.489051095,0.776578574,0.811529723,0.79063952,1.17E-05,1.11E-05,B,,,NAD.BIOSYNTHESIS.II..NAD.salvage.pathway.II
Pathway368,5087,4912,5090,4915,5088.5,4913.5,0.491450855,0.49130087,0.50880 ,0.491150885,0.776578574,0.811529723,0.79063952,1.47E-05,1.58E-05,B,,,PWY.7003..glycerol.degradation.to.butanol
Pathway120,5056,4917,5085,4946,5070.5,4931.5,0.494550545,0.49310069,0.50700 ,0.491650835,0.776578574,0.811529723,0.79063952,8.98E-08,1.75E-07,B,,,P621.PWY..nylon.6.oligomer.degradation
Pathway266,5015,4982,5020,4987,5017.5,4984.5,0.498650135,0.49840016,0.50170 ,0.498150185,0.776578574,0.811529723,0.79063952,6.73E-05,6.71E-05,B,,,PWY.5989..stearate.biosynthesis.II..bacteria.and.plants.
Pathway153,1,1,10001,10001,5001,5001,1,0.500049995,0.50005 ,1.00E-04,0.00243612,1,0.79063952,0,0,B,,,PWY.3941...beta..alanine.biosynthesis.II
Pathway155,1,1,10001,10001,5001,5001,1,0.500049995,0.50005 ,1.00E-04,0.00243612,1,0.79063952,0,0,B,,,PWY.4221..pantothenate.and.coenzyme.A.biosynthesis.II..plants.
Pathway180,1,1,10001,10001,5001,5001,1,0.500049995,0.50005 ,1.00E-04,0.00243612,1,0.79063952,0,0,B,,,PWY.5109..2.methylbutanoate.biosynthesis
Pathway376,1,1,10001,10001,5001,5001,1,0.500049995,0.50005 ,1.00E-04,0.00243612,1,0.79063952,0,0,B,,,PWY.7090..UDP.2.3.diacetamido.2.3.dideoxy..alpha..D.mannuronate.biosynthesis
Pathway419,1,1,10001,10001,5001,5001,1,0.500049995,0.50005 ,1.00E-04,0.00243612,1,0.79063952,0,0,B,,,PWY.7290..Escherichia.coli.serotype.O86.O.antigen.biosynthesis
Pathway454,1,1,10001,10001,5001,5001,1,0.500049995,0.50005 ,1.00E-04,0.00243612,1,0.79063952,0,0,B,,,PWY.7626..bacilysin.biosynthesis
